state,date,est_infections,est_population,infection_rate,scaled_ir,severe
Vermont,2020-05-16,3.61636812823336,623989,5.795563909353145e-06,0.025487327633699503,0
Vermont,2020-05-17,3.32677731836773,623989,5.331467891850225e-06,0.023446358462087993,0
Vermont,2020-05-18,3.0729802568107796,623989,4.924734661685991e-06,0.021657655365039875,0
Vermont,2020-05-19,2.83268522932963,623989,4.539639688086858e-06,0.01996411148701374,0
Vermont,2020-05-20,2.6125653318074797,623989,4.186877223488683e-06,0.018412757267211494,0
Vermont,2020-05-21,2.36654188244708,623989,3.7926019247888665e-06,0.01667884079427132,0
Vermont,2020-05-22,2.13664312737912,623989,3.424167937862879e-06,0.015058567444080103,0
Vermont,2020-05-23,1.91280773872125,623989,3.065451055581509e-06,0.013481027300529387,0
Vermont,2020-05-24,1.6986170704318202,623989,2.7221907284131935e-06,0.011971460919509095,0
Vermont,2020-05-25,1.49560034845106,623989,2.3968376821563523e-06,0.010540645932401544,0
Vermont,2020-05-26,1.33781467314367,623989,2.143971565434118e-06,0.00942860891999182,0
Vermont,2020-05-27,1.23194754632947,623989,1.9743097175262225e-06,0.008682481851197318,0
Vermont,2020-05-28,1.12179971332673,623989,1.7977876426134594e-06,0.007906185353450319,0
Vermont,2020-05-29,1.00622804307076,623989,1.6125733675926339e-06,0.007091662902915603,0
Vermont,2020-05-30,0.904947506828932,623989,1.450261954664156e-06,0.006377861065592909,0
Vermont,2020-05-31,0.8286942476599941,623989,1.3280590645988857e-06,0.0058404456991628835,0
Vermont,2020-06-01,0.7611091457004658,623989,1.2197476969954051e-06,0.005364121503572486,0
Vermont,2020-06-02,0.6947576345818821,623989,1.1134132726408351e-06,0.004896491371436375,0
Vermont,2020-06-03,0.629846833600895,623989,1.0093877193362302e-06,0.004439015031740801,0
Vermont,2020-06-04,0.563467964273645,623989,9.030094509256493e-07,0.003971192085266058,0
Vermont,2020-06-05,0.503223570033442,623989,8.064622453816365e-07,0.003546603502970519,0
Vermont,2020-06-06,0.458674722333904,623989,7.350686027059836e-07,0.0032326335091445355,0
